bound,length,time(ms),swaps,jumps,partsSorted?,array
4.0, 4.0, 0.0019, 1.0, 9.0, product, 2123
4.0, 4.0, 0.0021, 1.0, 9.0, product, 2124
4.0, 4.0, 0.0021, 2.0, 9.0, product, 2131
4.0, 4.0, 0.0025, 2.0, 9.0, product, 2132
4.0, 4.0, 0.0042, 1.0, 9.0, product, 2133
4.0, 4.0, 0.0026, 1.0, 9.0, product, 2134
4.0, 4.0, 0.0025, 2.0, 9.0, product, 2141
4.0, 4.0, 0.0042, 2.0, 9.0, product, 2142
4.0, 4.0, 0.0029, 2.0, 9.0, product, 2143
4.0, 4.0, 0.0026, 1.0, 9.0, product, 2144
4.0, 4.0, 0.0038, 2.0, 9.0, product, 2211
4.0, 4.0, 0.0027, 1.0, 6.0, product, 2212
4.0, 4.0, 0.0026, 1.0, 6.0, product, 2213
4.0, 4.0, 0.0022, 1.0, 6.0, product, 2214
4.0, 4.0, 0.0024, 1.0, 6.0, product, 2221
4.0, 4.0, 0.0029, 0.0, 6.0, product, 2222
4.0, 4.0, 0.0025, 0.0, 6.0, product, 2223
4.0, 4.0, 0.0022, 0.0, 6.0, product, 2224
4.0, 4.0, 0.0029, 2.0, 9.0, product, 2231
4.0, 4.0, 0.0037, 1.0, 9.0, product, 2232
4.0, 4.0, 0.0017, 0.0, 6.0, product, 2233
4.0, 4.0, 0.0016, 0.0, 6.0, product, 2234
4.0, 4.0, 0.0342, 2.0, 9.0, product, 2241
4.0, 4.0, 0.0024, 1.0, 9.0, product, 2242
4.0, 4.0, 0.0021, 1.0, 9.0, product, 2243
4.0, 4.0, 0.0025, 0.0, 6.0, product, 2244
4.0, 4.0, 0.0041, 3.0, 9.0, product, 2311
4.0, 4.0, 0.003, 2.0, 6.0, product, 2312
4.0, 4.0, 0.0032, 2.0, 9.0, product, 2313
4.0, 4.0, 0.0032, 2.0, 9.0, product, 2314
4.0, 4.0, 0.0018, 2.0, 6.0, product, 2321
4.0, 4.0, 0.0028, 1.0, 6.0, product, 2322
4.0, 4.0, 0.0029, 1.0, 9.0, product, 2323
4.0, 4.0, 0.0024, 1.0, 9.0, product, 2324
4.0, 4.0, 0.0019, 2.0, 6.0, product, 2331
4.0, 4.0, 0.0029, 1.0, 6.0, product, 2332
4.0, 4.0, 0.0023, 0.0, 6.0, product, 2333
4.0, 4.0, 0.0019, 0.0, 6.0, product, 2334
4.0, 4.0, 0.0024, 3.0, 9.0, product, 2341
4.0, 4.0, 0.0021, 2.0, 9.0, product, 2342
4.0, 4.0, 0.0024, 1.0, 9.0, product, 2343
4.0, 4.0, 0.002, 0.0, 6.0, product, 2344
4.0, 4.0, 0.0035, 3.0, 9.0, product, 2411
4.0, 4.0, 0.0028, 2.0, 6.0, product, 2412
4.0, 4.0, 0.0031, 3.0, 9.0, product, 2413
4.0, 4.0, 0.005, 2.0, 9.0, product, 2414
4.0, 4.0, 0.0033, 2.0, 6.0, product, 2421
4.0, 4.0, 0.003, 1.0, 6.0, product, 2422
4.0, 4.0, 0.003, 2.0, 9.0, product, 2423
4.0, 4.0, 0.0027, 1.0, 9.0, product, 2424
4.0, 4.0, 0.0036, 2.0, 6.0, product, 2431
4.0, 4.0, 0.0027, 1.0, 6.0, product, 2432
4.0, 4.0, 0.0024, 1.0, 6.0, product, 2433
4.0, 4.0, 0.0034, 1.0, 9.0, product, 2434
4.0, 4.0, 0.0033, 2.0, 6.0, product, 2441
4.0, 4.0, 0.0034, 1.0, 6.0, product, 2442
4.0, 4.0, 0.003, 1.0, 6.0, product, 2443
4.0, 4.0, 0.0026, 0.0, 6.0, product, 2444
4.0, 4.0, 0.0029, 1.0, 6.0, product, 3111
4.0, 4.0, 0.0039, 2.0, 6.0, product, 3112
4.0, 4.0, 0.0027, 1.0, 6.0, product, 3113
4.0, 4.0, 0.0023, 1.0, 6.0, product, 3114
4.0, 4.0, 0.0032, 1.0, 6.0, product, 3121
4.0, 4.0, 0.0034, 2.0, 9.0, product, 3122
4.0, 4.0, 0.0027, 2.0, 9.0, product, 3123
4.0, 4.0, 0.0028, 2.0, 9.0, product, 3124
4.0, 4.0, 0.0023, 1.0, 6.0, product, 3131
4.0, 4.0, 0.0032, 2.0, 9.0, product, 3132
4.0, 4.0, 0.0027, 1.0, 9.0, product, 3133
4.0, 4.0, 0.0027, 1.0, 9.0, product, 3134
4.0, 4.0, 0.0026, 2.0, 9.0, product, 3141
4.0, 4.0, 0.0049, 3.0, 9.0, product, 3142
4.0, 4.0, 0.0027, 2.0, 9.0, product, 3143
4.0, 4.0, 0.0028, 1.0, 9.0, product, 3144
4.0, 4.0, 0.0046, 2.0, 9.0, product, 3211
4.0, 4.0, 0.0032, 2.0, 6.0, product, 3212
4.0, 4.0, 0.0064, 1.0, 6.0, product, 3213
4.0, 4.0, 0.0036, 1.0, 6.0, product, 3214
4.0, 4.0, 0.005, 1.0, 6.0, product, 3221
4.0, 4.0, 0.0057, 1.0, 6.0, product, 3222
4.0, 4.0, 0.0047, 1.0, 6.0, product, 3223
4.0, 4.0, 0.0059, 1.0, 6.0, product, 3224
4.0, 4.0, 0.0052, 1.0, 6.0, product, 3231
4.0, 4.0, 0.0049, 1.0, 6.0, product, 3232
4.0, 4.0, 0.006, 1.0, 9.0, product, 3233
4.0, 4.0, 0.0047, 1.0, 9.0, product, 3234
4.0, 4.0, 0.0136, 2.0, 9.0, product, 3241
4.0, 4.0, 0.0075, 2.0, 9.0, product, 3242
4.0, 4.0, 0.0078, 2.0, 9.0, product, 3243
4.0, 4.0, 0.0061, 1.0, 9.0, product, 3244
4.0, 4.0, 0.0096, 2.0, 9.0, product, 3311
4.0, 4.0, 0.0057, 3.0, 9.0, product, 3312
4.0, 4.0, 0.0052, 1.0, 6.0, product, 3313
4.0, 4.0, 0.0063, 1.0, 6.0, product, 3314
4.0, 4.0, 0.0049, 2.0, 9.0, product, 3321
4.0, 4.0, 0.0049, 2.0, 9.0, product, 3322
4.0, 4.0, 0.0024, 1.0, 6.0, product, 3323
4.0, 4.0, 0.002, 1.0, 6.0, product, 3324
4.0, 4.0, 0.0021, 1.0, 6.0, product, 3331
4.0, 4.0, 0.0039, 1.0, 6.0, product, 3332
4.0, 4.0, 0.0028, 0.0, 6.0, product, 3333
4.0, 4.0, 0.0021, 0.0, 6.0, product, 3334
4.0, 4.0, 0.0148, 2.0, 9.0, product, 3341
4.0, 4.0, 0.0026, 2.0, 9.0, product, 3342
4.0, 4.0, 0.0168, 1.0, 9.0, product, 3343
4.0, 4.0, 0.0046, 0.0, 6.0, product, 3344
4.0, 4.0, 0.0012, 3.0, 9.0, product, 3411
4.0, 4.0, 0.0013, 4.0, 9.0, product, 3412
4.0, 4.0, 0.0012, 2.0, 6.0, product, 3413
4.0, 4.0, 0.0013, 2.0, 9.0, product, 3414
4.0, 4.0, 0.0016, 3.0, 9.0, product, 3421
4.0, 4.0, 9.0E-4, 3.0, 9.0, product, 3422
4.0, 4.0, 0.0024, 2.0, 6.0, product, 3423
4.0, 4.0, 0.0033, 2.0, 9.0, product, 3424
4.0, 4.0, 0.0021, 2.0, 6.0, product, 3431
4.0, 4.0, 0.0012, 2.0, 6.0, product, 3432
4.0, 4.0, 0.0012, 1.0, 6.0, product, 3433
4.0, 4.0, 0.0039, 1.0, 9.0, product, 3434
4.0, 4.0, 0.0026, 2.0, 6.0, product, 3441
4.0, 4.0, 0.0017, 2.0, 6.0, product, 3442
4.0, 4.0, 0.0018, 1.0, 6.0, product, 3443
4.0, 4.0, 0.0025, 0.0, 6.0, product, 3444
4.0, 4.0, 0.002, 1.0, 6.0, product, 4111
4.0, 4.0, 0.0022, 2.0, 6.0, product, 4112
4.0, 4.0, 0.0014, 2.0, 6.0, product, 4113
4.0, 4.0, 0.0011, 1.0, 6.0, product, 4114
4.0, 4.0, 0.001, 1.0, 6.0, product, 4121
4.0, 4.0, 0.0014, 2.0, 9.0, product, 4122
4.0, 4.0, 8.0E-4, 3.0, 9.0, product, 4123
4.0, 4.0, 7.0E-4, 2.0, 9.0, product, 4124
4.0, 4.0, 0.0012, 1.0, 6.0, product, 4131
4.0, 4.0, 0.0012, 2.0, 9.0, product, 4132
4.0, 4.0, 0.0015, 2.0, 9.0, product, 4133
4.0, 4.0, 0.0018, 2.0, 9.0, product, 4134
4.0, 4.0, 0.0018, 1.0, 6.0, product, 4141
4.0, 4.0, 0.0012, 2.0, 9.0, product, 4142
4.0, 4.0, 0.0012, 2.0, 9.0, product, 4143
4.0, 4.0, 0.001, 1.0, 9.0, product, 4144
4.0, 4.0, 0.0019, 2.0, 9.0, product, 4211
4.0, 4.0, 0.0023, 2.0, 6.0, product, 4212
4.0, 4.0, 0.0011, 2.0, 6.0, product, 4213
4.0, 4.0, 0.0016, 1.0, 6.0, product, 4214
4.0, 4.0, 7.0E-4, 1.0, 6.0, product, 4221
4.0, 4.0, 8.0E-4, 1.0, 6.0, product, 4222
4.0, 4.0, 0.0015, 2.0, 6.0, product, 4223
4.0, 4.0, 0.0024, 1.0, 6.0, product, 4224
4.0, 4.0, 0.0019, 1.0, 6.0, product, 4231
4.0, 4.0, 0.0024, 1.0, 6.0, product, 4232
4.0, 4.0, 0.0015, 2.0, 9.0, product, 4233
4.0, 4.0, 0.0023, 2.0, 9.0, product, 4234
4.0, 4.0, 0.0014, 1.0, 6.0, product, 4241
4.0, 4.0, 0.002, 1.0, 6.0, product, 4242
4.0, 4.0, 0.0012, 2.0, 9.0, product, 4243
4.0, 4.0, 0.0033, 1.0, 9.0, product, 4244
4.0, 4.0, 0.003, 2.0, 9.0, product, 4311
4.0, 4.0, 0.0022, 3.0, 9.0, product, 4312
4.0, 4.0, 0.002, 2.0, 6.0, product, 4313
4.0, 4.0, 0.0027, 1.0, 6.0, product, 4314
4.0, 4.0, 0.0022, 2.0, 9.0, product, 4321
4.0, 4.0, 0.0022, 2.0, 9.0, product, 4322
4.0, 4.0, 0.0021, 2.0, 6.0, product, 4323
4.0, 4.0, 0.0028, 1.0, 6.0, product, 4324
4.0, 4.0, 0.002, 1.0, 6.0, product, 4331
4.0, 4.0, 0.0014, 1.0, 6.0, product, 4332
4.0, 4.0, 0.0026, 1.0, 6.0, product, 4333
4.0, 4.0, 0.0025, 1.0, 6.0, product, 4334
4.0, 4.0, 0.0019, 1.0, 6.0, product, 4341
4.0, 4.0, 0.0021, 1.0, 6.0, product, 4342
4.0, 4.0, 0.0022, 1.0, 6.0, product, 4343
4.0, 4.0, 0.0016, 1.0, 9.0, product, 4344
4.0, 4.0, 0.0026, 2.0, 9.0, product, 4411
4.0, 4.0, 0.0018, 3.0, 9.0, product, 4412
4.0, 4.0, 0.0016, 3.0, 9.0, product, 4413
4.0, 4.0, 0.0016, 1.0, 6.0, product, 4414
4.0, 4.0, 0.0012, 2.0, 9.0, product, 4421
4.0, 4.0, 0.0024, 2.0, 9.0, product, 4422
4.0, 4.0, 0.0018, 3.0, 9.0, product, 4423
4.0, 4.0, 0.0017, 1.0, 6.0, product, 4424
4.0, 4.0, 0.0016, 2.0, 9.0, product, 4431
4.0, 4.0, 0.0014, 2.0, 9.0, product, 4432
4.0, 4.0, 0.0014, 2.0, 9.0, product, 4433
4.0, 4.0, 0.0011, 1.0, 6.0, product, 4434
4.0, 4.0, 6.0E-4, 1.0, 6.0, product, 4441
4.0, 4.0, 0.0017, 1.0, 6.0, product, 4442
4.0, 4.0, 0.0012, 1.0, 6.0, product, 4443
4.0, 4.0, 0.0012, 0.0, 6.0, product, 4444
5.0, 5.0, 0.0023, 0.0, 10.0, product, 11111
5.0, 5.0, 0.0023, 0.0, 10.0, product, 11112
5.0, 5.0, 0.0031, 0.0, 10.0, product, 11113
5.0, 5.0, 0.0018, 0.0, 10.0, product, 11114
5.0, 5.0, 0.001, 0.0, 10.0, product, 11115
5.0, 5.0, 9.0E-4, 1.0, 14.0, product, 11121
5.0, 5.0, 9.0E-4, 0.0, 10.0, product, 11122
5.0, 5.0, 8.0E-4, 0.0, 10.0, product, 11123
5.0, 5.0, 7.0E-4, 0.0, 10.0, product, 11124
5.0, 5.0, 0.0013, 0.0, 10.0, product, 11125
5.0, 5.0, 0.002, 1.0, 14.0, product, 11131
5.0, 5.0, 0.0024, 1.0, 14.0, product, 11132
5.0, 5.0, 0.0013, 0.0, 10.0, product, 11133
5.0, 5.0, 0.002, 0.0, 10.0, product, 11134
5.0, 5.0, 0.0014, 0.0, 10.0, product, 11135
5.0, 5.0, 0.0018, 1.0, 14.0, product, 11141
5.0, 5.0, 0.0018, 1.0, 14.0, product, 11142
5.0, 5.0, 0.0017, 1.0, 14.0, product, 11143
5.0, 5.0, 0.0014, 0.0, 10.0, product, 11144
5.0, 5.0, 0.002, 0.0, 10.0, product, 11145
5.0, 5.0, 0.002, 1.0, 14.0, product, 11151
5.0, 5.0, 0.0015, 1.0, 14.0, product, 11152
5.0, 5.0, 7.0E-4, 1.0, 14.0, product, 11153
5.0, 5.0, 7.0E-4, 1.0, 14.0, product, 11154
5.0, 5.0, 7.0E-4, 0.0, 10.0, product, 11155
5.0, 5.0, 0.0019, 1.0, 10.0, product, 11211
5.0, 5.0, 0.002, 1.0, 14.0, product, 11212
5.0, 5.0, 0.0027, 1.0, 14.0, product, 11213
5.0, 5.0, 0.0043, 1.0, 14.0, product, 11214
5.0, 5.0, 0.0024, 1.0, 14.0, product, 11215
5.0, 5.0, 0.0016, 1.0, 10.0, product, 11221
5.0, 5.0, 0.0015, 0.0, 10.0, product, 11222
5.0, 5.0, 0.0017, 0.0, 10.0, product, 11223
5.0, 5.0, 0.0017, 0.0, 10.0, product, 11224
5.0, 5.0, 0.0053, 0.0, 10.0, product, 11225
5.0, 5.0, 0.0019, 2.0, 14.0, product, 11231
5.0, 5.0, 0.0024, 1.0, 14.0, product, 11232
5.0, 5.0, 0.0075, 0.0, 10.0, product, 11233
5.0, 5.0, 0.0017, 0.0, 10.0, product, 11234
5.0, 5.0, 0.0017, 0.0, 10.0, product, 11235
5.0, 5.0, 0.0017, 2.0, 14.0, product, 11241
5.0, 5.0, 0.0062, 1.0, 14.0, product, 11242
5.0, 5.0, 0.0017, 1.0, 14.0, product, 11243
5.0, 5.0, 0.0024, 0.0, 10.0, product, 11244
5.0, 5.0, 0.0033, 0.0, 10.0, product, 11245
5.0, 5.0, 0.0035, 2.0, 14.0, product, 11251
5.0, 5.0, 0.0022, 1.0, 14.0, product, 11252
5.0, 5.0, 0.0013, 1.0, 14.0, product, 11253
5.0, 5.0, 0.0015, 1.0, 14.0, product, 11254
5.0, 5.0, 0.0018, 0.0, 10.0, product, 11255
5.0, 5.0, 0.0023, 1.0, 10.0, product, 11311
5.0, 5.0, 0.0018, 2.0, 14.0, product, 11312
5.0, 5.0, 0.0025, 1.0, 14.0, product, 11313
5.0, 5.0, 0.0016, 1.0, 14.0, product, 11314
5.0, 5.0, 7.0E-4, 1.0, 14.0, product, 11315
5.0, 5.0, 9.0E-4, 1.0, 10.0, product, 11321
5.0, 5.0, 0.0011, 1.0, 10.0, product, 11322
5.0, 5.0, 0.0018, 1.0, 14.0, product, 11323
5.0, 5.0, 0.0022, 1.0, 14.0, product, 11324
5.0, 5.0, 0.002, 1.0, 14.0, product, 11325
5.0, 5.0, 0.0017, 1.0, 10.0, product, 11331
5.0, 5.0, 0.0012, 1.0, 10.0, product, 11332
5.0, 5.0, 0.0021, 0.0, 10.0, product, 11333
5.0, 5.0, 7.0E-4, 0.0, 10.0, product, 11334
5.0, 5.0, 9.0E-4, 0.0, 10.0, product, 11335
5.0, 5.0, 0.0014, 2.0, 14.0, product, 11341
5.0, 5.0, 0.0013, 2.0, 14.0, product, 11342
5.0, 5.0, 0.0025, 1.0, 14.0, product, 11343
5.0, 5.0, 0.0018, 0.0, 10.0, product, 11344
5.0, 5.0, 0.0041, 0.0, 10.0, product, 11345
5.0, 5.0, 0.0028, 2.0, 14.0, product, 11351
5.0, 5.0, 0.0029, 2.0, 14.0, product, 11352
5.0, 5.0, 0.0021, 1.0, 14.0, product, 11353
5.0, 5.0, 0.0038, 1.0, 14.0, product, 11354
5.0, 5.0, 0.0024, 0.0, 10.0, product, 11355
5.0, 5.0, 0.0013, 1.0, 10.0, product, 11411
5.0, 5.0, 0.0018, 2.0, 14.0, product, 11412
5.0, 5.0, 0.002, 2.0, 14.0, product, 11413
5.0, 5.0, 0.0022, 1.0, 14.0, product, 11414
5.0, 5.0, 0.0024, 1.0, 14.0, product, 11415
5.0, 5.0, 0.0017, 1.0, 10.0, product, 11421
5.0, 5.0, 0.0013, 1.0, 10.0, product, 11422
5.0, 5.0, 0.0017, 2.0, 14.0, product, 11423
5.0, 5.0, 0.0018, 1.0, 14.0, product, 11424
5.0, 5.0, 0.0018, 1.0, 14.0, product, 11425
5.0, 5.0, 0.0015, 1.0, 10.0, product, 11431
5.0, 5.0, 0.0024, 1.0, 10.0, product, 11432
5.0, 5.0, 0.002, 1.0, 10.0, product, 11433
5.0, 5.0, 0.0025, 1.0, 14.0, product, 11434
5.0, 5.0, 0.002, 1.0, 14.0, product, 11435
5.0, 5.0, 0.0018, 1.0, 10.0, product, 11441
5.0, 5.0, 0.0017, 1.0, 10.0, product, 11442
5.0, 5.0, 0.0025, 1.0, 10.0, product, 11443
5.0, 5.0, 0.0018, 0.0, 10.0, product, 11444
5.0, 5.0, 0.0035, 0.0, 10.0, product, 11445
5.0, 5.0, 0.0025, 2.0, 14.0, product, 11451
5.0, 5.0, 0.0026, 2.0, 14.0, product, 11452
5.0, 5.0, 0.0015, 2.0, 14.0, product, 11453
5.0, 5.0, 0.0018, 1.0, 14.0, product, 11454
5.0, 5.0, 0.0016, 0.0, 10.0, product, 11455
5.0, 5.0, 0.0013, 1.0, 10.0, product, 11511
5.0, 5.0, 0.0018, 2.0, 14.0, product, 11512
5.0, 5.0, 0.0017, 2.0, 14.0, product, 11513
5.0, 5.0, 8.0E-4, 2.0, 14.0, product, 11514
5.0, 5.0, 8.0E-4, 1.0, 14.0, product, 11515
5.0, 5.0, 0.0014, 1.0, 10.0, product, 11521
5.0, 5.0, 0.001, 1.0, 10.0, product, 11522
5.0, 5.0, 0.0016, 2.0, 14.0, product, 11523
5.0, 5.0, 0.0019, 2.0, 14.0, product, 11524
5.0, 5.0, 0.0013, 1.0, 14.0, product, 11525
5.0, 5.0, 0.0066, 1.0, 10.0, product, 11531
5.0, 5.0, 0.0038, 1.0, 10.0, product, 11532
5.0, 5.0, 0.0033, 1.0, 10.0, product, 11533
5.0, 5.0, 0.0036, 2.0, 14.0, product, 11534
5.0, 5.0, 0.0019, 1.0, 14.0, product, 11535
5.0, 5.0, 0.0014, 1.0, 10.0, product, 11541
5.0, 5.0, 0.002, 1.0, 10.0, product, 11542
5.0, 5.0, 8.0E-4, 1.0, 10.0, product, 11543
5.0, 5.0, 0.0015, 1.0, 10.0, product, 11544
5.0, 5.0, 0.0023, 1.0, 14.0, product, 11545
5.0, 5.0, 0.0018, 1.0, 10.0, product, 11551
5.0, 5.0, 0.0014, 1.0, 10.0, product, 11552
5.0, 5.0, 0.004, 1.0, 10.0, product, 11553
5.0, 5.0, 0.0017, 1.0, 10.0, product, 11554
5.0, 5.0, 8.0E-4, 0.0, 10.0, product, 11555
5.0, 5.0, 0.001, 1.0, 10.0, product, 12111
5.0, 5.0, 0.0018, 1.0, 10.0, product, 12112
5.0, 5.0, 8.0E-4, 1.0, 10.0, product, 12113
5.0, 5.0, 6.0E-4, 1.0, 10.0, product, 12114
5.0, 5.0, 6.0E-4, 1.0, 10.0, product, 12115
5.0, 5.0, 0.001, 1.0, 10.0, product, 12121
5.0, 5.0, 0.001, 1.0, 14.0, product, 12122
5.0, 5.0, 0.0019, 1.0, 14.0, product, 12123
5.0, 5.0, 0.0015, 1.0, 14.0, product, 12124
5.0, 5.0, 0.0016, 1.0, 14.0, product, 12125
5.0, 5.0, 9.0E-4, 2.0, 14.0, product, 12131
5.0, 5.0, 0.001, 2.0, 14.0, product, 12132
5.0, 5.0, 9.0E-4, 1.0, 14.0, product, 12133
5.0, 5.0, 0.0012, 1.0, 14.0, product, 12134
5.0, 5.0, 0.0032, 1.0, 14.0, product, 12135
5.0, 5.0, 8.0E-4, 2.0, 14.0, product, 12141
5.0, 5.0, 8.0E-4, 2.0, 14.0, product, 12142
5.0, 5.0, 8.0E-4, 2.0, 14.0, product, 12143
5.0, 5.0, 6.0E-4, 1.0, 14.0, product, 12144
5.0, 5.0, 0.0012, 1.0, 14.0, product, 12145
5.0, 5.0, 7.0E-4, 2.0, 14.0, product, 12151
5.0, 5.0, 6.0E-4, 2.0, 14.0, product, 12152
5.0, 5.0, 7.0E-4, 2.0, 14.0, product, 12153
5.0, 5.0, 7.0E-4, 2.0, 14.0, product, 12154
5.0, 5.0, 9.0E-4, 1.0, 14.0, product, 12155
5.0, 5.0, 0.0019, 2.0, 14.0, product, 12211
5.0, 5.0, 0.0018, 1.0, 10.0, product, 12212
5.0, 5.0, 0.0016, 1.0, 10.0, product, 12213
5.0, 5.0, 0.0016, 1.0, 10.0, product, 12214
5.0, 5.0, 0.001, 1.0, 10.0, product, 12215
5.0, 5.0, 0.0014, 1.0, 10.0, product, 12221
5.0, 5.0, 0.001, 0.0, 10.0, product, 12222
5.0, 5.0, 0.0011, 0.0, 10.0, product, 12223
5.0, 5.0, 8.0E-4, 0.0, 10.0, product, 12224
5.0, 5.0, 9.0E-4, 0.0, 10.0, product, 12225
5.0, 5.0, 0.0013, 2.0, 14.0, product, 12231
5.0, 5.0, 0.0019, 1.0, 14.0, product, 12232
